NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;SAANR_10_DIM1;SAANR_10_MOD_DIM1;SAANR_10_LIB_DIM1;SAANR_10_DIM3;SAANR_10_MOD_DIM3;SAANR_10_LIB_DIM3;SAANR_10_DIM4;SAANR_10_MOD_DIM4;SAANR_10_LIB_DIM4;VALEUR;QUALITE
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;001;Coqs et poules de réforme;Indicateur;001;Production totale (1000 têtes);1419;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;002;Poulets de chair (mâles et femelles) et coquelets;Indicateur;001;Production totale (1000 têtes);2251;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;003;Canards gras;Indicateur;001;Production totale (1000 têtes);17;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;005;Canards à rôtir;Indicateur;001;Production totale (1000 têtes);43;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;006;Dindes et dindons;Indicateur;001;Production totale (1000 têtes);88;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;007;Oies grasses;Indicateur;001;Production totale (1000 têtes);0;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;009;Oies à rôtir;Indicateur;001;Production totale (1000 têtes);6;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;010;Pintades;Indicateur;001;Production totale (1000 têtes);111;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;011;Cailles d'élevage;Indicateur;001;Production totale (1000 têtes);35;OUI
SAANR_10;2000;FR;METRO;NR11;...;Thème;001;Volailles et lapins;Produit;012;Lapins;Indicateur;001;Production totale (1000 têtes);147;OUI
SAANR_10;2000;FR;METRO;NR24;...;Thème;001;Volailles et lapins;Produit;001;Coqs et poules de réforme;Indicateur;001;Production totale (1000 têtes);1275;OUI
