NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;SAANR_9_DIM1;SAANR_9_MOD_DIM1;SAANR_9_LIB_DIM1;SAANR_9_DIM3;SAANR_9_MOD_DIM3;SAANR_9_LIB_DIM3;SAANR_9_DIM4;SAANR_9_MOD_DIM4;SAANR_9_LIB_DIM4;VALEUR;QUALITE
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;011;Total génisses;Indicateur;001;Production totale (tête);862;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;012;Mâles de plus de 2 ans;Indicateur;001;Production totale (tête);1226;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;013;Mâles de 1 à 2 ans;Indicateur;001;Production totale (tête);507;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;014;Mâles de 6 mois à 1 an;Indicateur;001;Production totale (tête);94;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;015;Total mâles;Indicateur;001;Production totale (tête);1827;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;016;Veaux de boucherie laitiers;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;017;Veaux de boucherie viande;Indicateur;001;Production totale (tête);32;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;018;Total veaux de boucherie;Indicateur;001;Production totale (tête);32;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;001;Bovins;Produit;019;Ensemble bovins;Indicateur;001;Production totale (tête);4221;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;002;Porcins;Produit;020;Porcelets;Indicateur;001;Production totale (tête);11;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;002;Porcins;Produit;021;Porcs charcutiers;Indicateur;001;Production totale (tête);14209;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;002;Porcins;Produit;022;Truies et verrats de réforme;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;002;Porcins;Produit;023;Ensemble porcins;Indicateur;001;Production totale (tête);14220;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;003;Caprins;Produit;024;Chevreaux de lait;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;003;Caprins;Produit;025;Autres chevreaux;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;003;Caprins;Produit;026;Caprins de réforme;Indicateur;001;Production totale (tête);528;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;003;Caprins;Produit;027;Ensemble caprins;Indicateur;001;Production totale (tête);528;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;004;Ovins;Produit;028;Agneaux de lait;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;004;Ovins;Produit;029;Autres agneaux;Indicateur;001;Production totale (tête);81;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;004;Ovins;Produit;030;Moutons et ovins de réforme;Indicateur;001;Production totale (tête);2114;OUI
SAANR_9;2018;FR;DOM;NR02;972;Thème;004;Ovins;Produit;031;Ensemble ovins;Indicateur;001;Production totale (tête);2195;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;001;Vaches de réforme laitières;Indicateur;001;Production totale (tête);58;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;002;Vaches de réforme nourrices;Indicateur;001;Production totale (tête);492;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;003;Total vaches de réforme;Indicateur;001;Production totale (tête);550;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;004;Génisses laitières de plus de 2 ans;Indicateur;001;Production totale (tête);40;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;005;Génisses viande de plus de 2 ans;Indicateur;001;Production totale (tête);200;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;006;Total génisses de plus de 2 ans;Indicateur;001;Production totale (tête);240;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;007;Génisses laitières de 1 à 2 ans;Indicateur;001;Production totale (tête);20;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;008;Génisses viande 1 à 2 ans;Indicateur;001;Production totale (tête);82;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;009;Total génisses de 1 à 2 ans;Indicateur;001;Production totale (tête);102;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;010;Génisses de 6 mois à 1 an;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;011;Total génisses;Indicateur;001;Production totale (tête);342;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;012;Mâles de plus de 2 ans;Indicateur;001;Production totale (tête);1215;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;013;Mâles de 1 à 2 ans;Indicateur;001;Production totale (tête);237;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;014;Mâles de 6 mois à 1 an;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;015;Total mâles;Indicateur;001;Production totale (tête);1452;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;016;Veaux de boucherie laitiers;Indicateur;001;Production totale (tête);1;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;017;Veaux de boucherie viande;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;018;Total veaux de boucherie;Indicateur;001;Production totale (tête);1;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;001;Bovins;Produit;019;Ensemble bovins;Indicateur;001;Production totale (tête);2345;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;002;Porcins;Produit;020;Porcelets;Indicateur;001;Production totale (tête);74;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;002;Porcins;Produit;021;Porcs charcutiers;Indicateur;001;Production totale (tête);5654;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;002;Porcins;Produit;022;Truies et verrats de réforme;Indicateur;001;Production totale (tête);101;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;002;Porcins;Produit;023;Ensemble porcins;Indicateur;001;Production totale (tête);5829;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;003;Caprins;Produit;024;Chevreaux de lait;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;003;Caprins;Produit;025;Autres chevreaux;Indicateur;001;Production totale (tête);186;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;003;Caprins;Produit;026;Caprins de réforme;Indicateur;001;Production totale (tête);72;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;003;Caprins;Produit;027;Ensemble caprins;Indicateur;001;Production totale (tête);258;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;004;Ovins;Produit;028;Agneaux de lait;Indicateur;001;Production totale (tête);0;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;004;Ovins;Produit;029;Autres agneaux;Indicateur;001;Production totale (tête);313;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;004;Ovins;Produit;030;Moutons et ovins de réforme;Indicateur;001;Production totale (tête);83;OUI
SAANR_9;2018;FR;DOM;NR03;973;Thème;004;Ovins;Produit;031;Ensemble ovins;Indicateur;001;Production totale (tête);396;OUI
SAANR_9;2018;FR;DOM;NR04;974;Thème;001;Bovins;Produit;001;Vaches de réforme laitières;Indicateur;001;Production totale (tête);78;OUI
SAANR_9;2018;FR;DOM;NR04;974;Thème;001;Bovins;Produit;002;Vaches de réforme nourrices;Indicateur;001;Production totale (tête);698;OUI
SAANR_9;2018;FR;DOM;NR04;974;Thème;001;Bovins;Produit;003;Total vaches de réforme;Indicateur;001;Production totale (tête);776;OUI
SAANR_9;2018;FR;DOM;NR04;974;Thème;001;Bovins;Produit;004;Génisses laitières de plus de 2 ans;Indicateur;001;Production totale (tête);5;OUI
SAANR_9;2018;FR;DOM;NR04;974;Thème;001;Bovins;Produit;005;Génisses viande de plus de 2 ans;Indicateur;001;Production totale (tête);393;OUI
SAANR_9;2018;FR;DOM;NR04;974;Thème;001;Bovins;Produit;006;Total génisses de plus de 2 ans;Indicateur;001;Production totale (tête);398;OUI
